DrugID,ProteinID,InteractionType,edge_label
DB00557,P08183,1,Carrrier
DB00563,Q7Z2H8,1,Carrrier
DB00567,Q8TCC7,1,Carrrier
DB00571,O15244,1,Carrrier
DB00571,P08183,1,Carrrier
DB00573,P02768,1,Carrrier
DB00575,Q9H015,1,Carrrier
DB00576,P02768,1,Carrrier
DB00584,P46721,1,Carrrier
DB00586,O43525,1,Carrrier
DB00586,P08183,1,Carrrier
DB00588,P08183,1,Carrrier
DB00588,Q9Y6L6,1,Carrrier
DB00591,P08185,1,Carrrier
DB00595,Q9Y694,1,Carrrier
DB00596,P08185,1,Carrrier
DB00598,Q2M3G0,1,Carrrier
DB00601,Q8TCC7,1,Carrrier
DB00603,P08183,1,Carrrier
DB00605,Q4U2R8,1,Carrrier
DB00607,Q4U2R8,1,Carrrier
DB00608,P08183,1,Carrrier
DB00619,O95342,1,Carrrier
DB00619,Q99758,1,Carrrier
DB00620,P02768,1,Carrrier
DB00620,P08185,1,Carrrier
DB00624,Q9NPD5,1,Carrrier
DB00624,Q9UNQ0,1,Carrrier
DB00625,O15245,1,Carrrier
DB00627,O15427,1,Carrrier
DB00635,P08183,1,Carrrier
DB00635,P46721,1,Carrrier
DB00636,P05543,1,Carrrier
DB00640,Q9HAS3,1,Carrrier
DB00648,P05543,1,Carrrier
DB00648,P08183,1,Carrrier
DB00648,P08185,1,Carrrier
DB00649,O00337,1,Carrrier
DB00655,Q8TCC7,1,Carrrier
DB00661,Q86VL8,1,Carrrier
DB00661,Q96FL8,1,Carrrier
DB00663,P08185,1,Carrrier
DB00675,O95342,1,Carrrier
DB00675,O95477,1,Carrrier
DB00678,O95342,1,Carrrier
DB00682,P02763,1,Carrrier
DB00682,P02768,1,Carrrier
DB00687,P02768,1,Carrrier
DB00687,P08185,1,Carrrier
DB00695,Q92959,1,Carrrier
DB00695,Q9NSA0,1,Carrrier
DB00706,P02763,1,Carrrier
DB00709,Q92887,1,Carrrier
DB00712,Q4U2R8,1,Carrrier
DB00714,Q05940,1,Carrrier
DB00717,P04278,1,Carrrier
DB00717,P08183,1,Carrrier
DB00731,Q16348,1,Carrrier
DB00731,Q4U2R8,1,Carrrier
DB00734,P02763,1,Carrrier
DB00734,P08183,1,Carrrier
DB00737,P02768,1,Carrrier
DB00741,P46721,1,Carrrier
DB00741,Q8TCC7,1,Carrrier
DB00749,Q4U2R8,1,Carrrier
DB00753,P02768,1,Carrrier
DB00754,P05543,1,Carrrier
DB00755,P29373,1,Carrrier
DB00759,O94956,1,Carrrier
DB00762,Q92887,1,Carrrier
DB00768,P08183,1,Carrrier
DB00776,P08183,1,Carrrier
DB00783,Q8TCC7,1,Carrrier
DB00783,Q9NPD5,1,Carrrier
DB00783,Q9NYB5,1,Carrrier
DB00784,P02768,1,Carrrier
DB00787,Q86VL8,1,Carrrier
DB00788,Q8TCC7,1,Carrrier
DB00808,P02768,1,Carrrier
DB00818,P08183,1,Carrrier
DB00842,P02768,1,Carrrier
DB00845,P33527,1,Carrrier
DB00846,P08185,1,Carrrier
DB00847,P02768,1,Carrrier
DB00852,P31645,1,Carrrier
DB00853,P08183,1,Carrrier
DB00853,Q9UNQ0,1,Carrrier
DB00857,A0A059JJ46,1,Carrrier
DB00860,P08183,1,Carrrier
DB00860,P46721,1,Carrrier
DB00861,P02768,1,Carrrier
DB00861,Q4U2R8,1,Carrrier
DB00878,P02768,1,Carrrier
DB00879,Q96FL8,1,Carrrier
DB00881,Q8TCC7,1,Carrrier
DB00896,P08185,1,Carrrier
DB00900,Q14542,1,Carrrier
DB00903,Q4U2R8,1,Carrrier
DB00908,O95342,1,Carrrier
DB00908,Q9Y6L6,1,Carrrier
DB00912,O95342,1,Carrrier
DB00924,P02768,1,Carrrier
DB00931,P02768,1,Carrrier
DB00934,P02763,1,Carrrier
DB00936,Q9Y694,1,Carrrier
DB00938,O15244,1,Carrrier
DB00938,O75751,1,Carrrier
DB00939,Q9NYB5,1,Carrrier
DB00943,Q14542,1,Carrrier
DB00946,P02763,1,Carrrier
DB00946,P02768,1,Carrrier
DB00950,O15438,1,Carrrier
DB00950,Q8TCC7,1,Carrrier
DB00951,P02768,1,Carrrier
DB00957,P08183,1,Carrrier
DB00957,Q92887,1,Carrrier
DB00959,P08183,1,Carrrier
DB00960,O15244,1,Carrrier
DB00968,P46059,1,Carrrier
DB00977,P08183,1,Carrrier
DB00977,P46721,1,Carrrier
DB00982,P02768,1,Carrrier
DB00983,O76082,1,Carrrier
DB00986,O15244,1,Carrrier
DB00986,Q96FL8,1,Carrrier
DB00993,Q8NBI5,1,Carrrier
DB00995,P02768,1,Carrrier
DB00997,Q92887,1,Carrrier
DB00999,O15439,1,Carrrier
DB01006,P08183,1,Carrrier
DB01009,Q9Y694,1,Carrrier
DB01013,P02768,1,Carrrier
DB01013,P08185,1,Carrrier
DB01015,O95342,1,Carrrier
DB01016,O94956,1,Carrrier
DB01026,O95342,1,Carrrier
DB01026,Q9Y6L6,1,Carrrier
DB01029,P02768,1,Carrrier
DB01032,Q9NRM0,1,Carrrier
DB01039,O95342,1,Carrrier
DB01044,P02768,1,Carrrier
DB01047,P08185,1,Carrrier
DB01050,Q9NSA0,1,Carrrier
DB01053,Q9Y6L6,1,Carrrier
DB01056,P02768,1,Carrrier
DB01057,P02768,1,Carrrier
DB01060,Q4U2R8,1,Carrrier
DB01062,P02763,1,Carrrier
DB01062,P02768,1,Carrrier
DB01064,P02768,1,Carrrier
DB01067,O95342,1,Carrrier
DB01069,O15439,1,Carrrier
DB01072,O94956,1,Carrrier
DB01072,O95342,1,Carrrier
DB01076,O95342,1,Carrrier
DB01083,P02768,1,Carrrier
DB01086,P08183,1,Carrrier
DB01093,P02766,1,Carrrier
DB01098,Q14973,1,Carrrier
DB01104,P08183,1,Carrrier
DB01110,P08183,1,Carrrier
DB01115,O95342,1,Carrrier
DB01115,Q9Y6L6,1,Carrrier
DB01118,O15244,1,Carrrier
DB01120,P02768,1,Carrrier
DB01124,O94956,1,Carrrier
DB01126,Q61327,1,Carrrier
DB01126,Q8BRU6,1,Carrrier
DB01132,Q9Y6L6,1,Carrrier
DB01133,P02768,1,Carrrier
DB01136,P08183,1,Carrrier
DB01137,Q6ZQN7,1,Carrrier
DB01138,O95342,1,Carrrier
DB01142,P02763,1,Carrrier
DB01142,P08183,1,Carrrier
DB01147,Q16348,1,Carrrier
DB01151,Q9H015,1,Carrrier
DB01156,O15244,1,Carrrier
DB01159,P02768,1,Carrrier
DB01183,P08183,1,Carrrier
DB01189,P02768,1,Carrrier
DB01190,P08183,1,Carrrier
DB01197,Q4U2R8,1,Carrrier
DB01203,Q86VL8,1,Carrrier
DB01212,P08183,1,Carrrier
DB01219,P05543,1,Carrrier
DB01222,P46721,1,Carrrier
DB01222,Q8TCC7,1,Carrrier
DB01232,O94956,1,Carrrier
DB01232,O95342,1,Carrrier
DB01233,P08183,1,Carrrier
DB01234,P46721,1,Carrrier
DB01235,Q9UHI5,1,Carrrier
DB01236,P02768,1,Carrrier
DB01238,P02768,1,Carrrier
DB01241,P02768,1,Carrrier
DB01242,P08183,1,Carrrier
DB01264,P08183,1,Carrrier
DB01264,Q9Y6L6,1,Carrrier
DB01275,P02768,1,Carrrier
DB01294,P02768,1,Carrrier
DB01294,P02787,1,Carrrier
DB01320,P02768,1,Carrrier
DB01320,P05543,1,Carrrier
DB01324,Q8TCC7,1,Carrrier
DB01327,Q9NSA0,1,Carrrier
DB01328,P02768,1,Carrrier
DB01329,Q9Y694,1,Carrrier
DB01330,P02768,1,Carrrier
DB01359,P02763,1,Carrrier
DB01364,Q05940,1,Carrrier
DB01380,P08183,1,Carrrier
DB01380,Q8TCC7,1,Carrrier
DB01394,P08183,1,Carrrier
DB01396,P08183,1,Carrrier
DB01406,P04278,1,Carrrier
DB01410,P08185,1,Carrrier
DB01418,P02763,1,Carrrier
DB01418,P08183,1,Carrrier
DB01426,P02763,1,Carrrier
DB01436,P02774,1,Carrrier
DB01581,P02768,1,Carrrier
DB01582,P02768,1,Carrrier
DB01587,P08183,1,Carrrier
DB01601,O95342,1,Carrrier
DB01601,Q9NPD5,1,Carrrier
DB01611,P08183,1,Carrrier
DB01611,P46721,1,Carrrier
DB01621,O15245,1,Carrrier
DB01623,O15245,1,Carrrier
DB01627,P02763,1,Carrrier
DB01914,P31639,1,Carrrier
DB02266,Q4U2R8,1,Carrrier
DB02659,Q9NPD5,1,Carrrier
DB03017,P02768,1,Carrrier
DB03193,P02768,1,Carrrier
DB03193,P05413,1,Carrrier
DB03766,P15090,1,Carrrier
DB03796,P02768,1,Carrrier
DB03796,P05413,1,Carrrier
DB03796,P12104,1,Carrrier
DB03796,P15090,1,Carrrier
DB03796,Q01469,1,Carrrier
DB04224,O15540,1,Carrrier
DB04224,P02768,1,Carrrier
DB04224,P02774,1,Carrrier
DB04224,P05413,1,Carrrier
DB04224,P07148,1,Carrrier
DB04224,P15090,1,Carrrier
DB04574,Q86VL8,1,Carrrier
DB04574,Q96FL8,1,Carrrier
DB04854,Q9UNQ0,1,Carrrier
DB04855,Q8TCC7,1,Carrrier
DB04861,P02768,1,Carrrier
DB04951,P02768,1,Carrrier
DB05294,O15244,1,Carrrier
DB05294,P08183,1,Carrrier
DB05812,P02763,1,Carrrier
DB05812,P33527,1,Carrrier
DB06119,P02768,1,Carrrier
DB06151,Q4U2R8,1,Carrrier
DB06201,P02768,1,Carrrier
DB06209,P02768,1,Carrrier
DB06216,P02768,1,Carrrier
DB06237,P08183,1,Carrrier
DB06237,Q9UNQ0,1,Carrrier
DB06282,Q9NSA0,1,Carrrier
DB06288,O15245,1,Carrrier
DB06290,O95342,1,Carrrier
DB06480,P08183,1,Carrrier
DB06710,P46721,1,Carrrier
DB06710,Q8TCC7,1,Carrrier
DB06755,P02753,1,Carrrier
DB06755,P09455,1,Carrrier
DB06755,P10745,1,Carrrier
DB06755,P50120,1,Carrrier
DB06755,P82980,1,Carrrier
DB06755,P98155,1,Carrrier
DB07565,P08183,1,Carrrier
DB08814,P02768,1,Carrrier
DB08816,P08183,1,Carrrier
DB08820,P02763,1,Carrrier
DB08820,P08183,1,Carrrier
DB08822,P08183,1,Carrrier
DB08828,P08183,1,Carrrier
DB08828,Q9UNQ0,1,Carrrier
DB08860,O95342,1,Carrrier
DB08860,Q92887,1,Carrrier
DB08864,Q9NPD5,1,Carrrier
DB08867,P02763,1,Carrrier
DB08867,P02768,1,Carrrier
DB08877,P02768,1,Carrrier
DB08881,P08183,1,Carrrier
DB08881,Q9UNQ0,1,Carrrier
DB08893,O15244,1,Carrrier
DB08893,O75751,1,Carrrier
DB08895,P02768,1,Carrrier
DB08899,P05543,1,Carrrier
DB08899,P08183,1,Carrrier
DB08906,P08183,1,Carrrier
DB08906,Q9Y6L6,1,Carrrier
DB08907,Q9UNQ0,1,Carrrier
DB08931,P02763,1,Carrrier
DB08931,Q9UNQ0,1,Carrrier
DB08932,P02768,1,Carrrier
DB08995,O94956,1,Carrrier
DB09053,P02768,1,Carrrier
DB09069,P02768,1,Carrrier
DB09073,O15245,1,Carrrier
DB09079,Q9UNQ0,1,Carrrier
DB09093,P02768,1,Carrrier
DB09195,P02768,1,Carrrier
DB09213,P08183,1,Carrrier
DB09236,P02763,1,Carrrier
DB09236,P02768,1,Carrrier
DB09237,O76082,1,Carrrier
DB09256,P05543,1,Carrrier
DB09274,Q8TCC7,1,Carrrier
DB09280,P08183,1,Carrrier
DB09299,Q9NPD5,1,Carrrier
DB09383,P02768,1,Carrrier
DB09526,P02768,1,Carrrier
DB11100,P05543,1,Carrrier
DB11217,P02768,1,Carrrier
DB11221,P02773,1,Carrrier
DB11251,P08183,1,Carrrier
DB11251,Q8WTV0,1,Carrrier
DB11575,Q9NPD5,1,Carrrier
DB11575,Q9Y6L6,1,Carrrier
DB11637,P02763,1,Carrrier
DB11637,P02768,1,Carrrier
DB11642,O15245,1,Carrrier
DB11642,P02763,1,Carrrier
DB11677,P02768,1,Carrrier
DB11689,P08183,1,Carrrier
DB11689,Q9UNQ0,1,Carrrier
DB11703,P02768,1,Carrrier
DB11751,Q9UNQ0,1,Carrrier
DB11753,P08183,1,Carrrier
DB11757,Q86VL8,1,Carrrier
DB11757,Q96FL8,1,Carrrier
DB11796,Q9NPD5,1,Carrrier
DB11800,Q9UNQ0,1,Carrrier
DB11820,Q9UNQ0,1,Carrrier
DB11827,Q9UNQ0,1,Carrrier
DB11828,P08183,1,Carrrier
DB11853,P08183,1,Carrrier
DB11853,Q9UNQ0,1,Carrrier
DB11855,Q9UNQ0,1,Carrrier
DB11943,Q9UNQ0,1,Carrrier
DB11963,O15245,1,Carrrier
DB11978,Q86VL8,1,Carrrier
DB12001,P08183,1,Carrrier
DB12001,Q9UNQ0,1,Carrrier
DB12141,O15245,1,Carrrier
DB12235,P02763,1,Carrrier
DB12235,P02768,1,Carrrier
DB12404,P02768,1,Carrrier
DB12455,P08183,1,Carrrier
DB12466,Q8TCC7,1,Carrrier
DB12466,Q96S37,1,Carrrier
DB12483,Q86VL8,1,Carrrier
DB12674,O15245,1,Carrrier
DB12674,Q9NPD5,1,Carrrier
DB12941,Q9NPD5,1,Carrrier
DB12978,O94956,1,Carrrier
DB12978,Q9NPD5,1,Carrrier
DB13867,P08183,1,Carrrier
DB13867,Q9Y6L6,1,Carrrier
DB13909,P02768,1,Carrrier
DB13943,Q9H015,1,Carrrier
DB13943,Q9UNQ0,1,Carrrier
DB13944,Q9H015,1,Carrrier
DB13944,Q9UNQ0,1,Carrrier
DB13946,Q96FL8,1,Carrrier
DB13946,Q9NPD5,1,Carrrier
DB13952,Q96BD0,1,Carrrier
DB13952,Q9NPD5,1,Carrrier
DB13952,Q9NYB5,1,Carrrier
DB13953,Q96BD0,1,Carrrier
DB13953,Q9NPD5,1,Carrrier
DB13953,Q9NYB5,1,Carrrier
DB13954,Q96BD0,1,Carrrier
DB13954,Q9NPD5,1,Carrrier
DB13954,Q9NYB5,1,Carrrier
DB13955,Q96BD0,1,Carrrier
DB13955,Q9NPD5,1,Carrrier
DB13955,Q9NYB5,1,Carrrier
DB13956,Q96BD0,1,Carrrier
DB13956,Q9NPD5,1,Carrrier
DB13956,Q9NYB5,1,Carrrier
DB14001,P49638,1,Carrrier
DB14002,P49638,1,Carrrier
DB14003,P08183,1,Carrrier
DB14003,Q8WTV0,1,Carrrier
DB14007,P01009,1,Carrrier
DB14185,P02768,1,Carrrier
DB14539,Q8TCC7,1,Carrrier
DB14539,Q9UNQ0,1,Carrrier
DB14540,Q8TCC7,1,Carrrier
DB14540,Q9UNQ0,1,Carrrier
DB14541,Q8TCC7,1,Carrrier
DB14541,Q9UNQ0,1,Carrrier
DB14542,Q8TCC7,1,Carrrier
DB14542,Q9UNQ0,1,Carrrier
DB14543,Q8TCC7,1,Carrrier
DB14543,Q9UNQ0,1,Carrrier
DB14544,Q8TCC7,1,Carrrier
DB14544,Q9UNQ0,1,Carrrier
DB14631,P08183,1,Carrrier
DB14631,Q8TCC7,1,Carrrier
DB14649,Q8TCC7,1,Carrrier
DB14669,P08183,1,Carrrier
DB14669,Q8TCC7,1,Carrrier
DB14840,Q96FL8,1,Carrrier
DB14840,Q9UNQ0,1,Carrrier
DB14879,A0A0H2ZGX7,1,Carrrier
DB15133,P08183,1,Carrrier
DB15133,Q9UNQ0,1,Carrrier
DB15305,Q9UNQ0,1,Carrrier
DB15444,P08183,1,Carrrier
DB15456,Q9UNQ0,1,Carrrier
DB15534,P02768,1,Carrrier
DB15566,P08183,1,Carrrier
DB15566,P46721,1,Carrrier
DB15690,P02768,1,Carrrier
DB15690,P04278,1,Carrrier
DB16703,P02763,1,Carrrier
DB16703,P02768,1,Carrrier
DB00118,P05181,2,Enzyme
DB00118,P19623,2,Enzyme
DB00121,Q16678,2,Enzyme
DB00122,P28329,2,Enzyme
DB00122,P35790,2,Enzyme
DB00122,Q8NE62,2,Enzyme
DB00122,Q9Y259,2,Enzyme
DB00122,Q9Y6K0,2,Enzyme
DB00127,P47989,2,Enzyme
DB00128,P27708,2,Enzyme
DB00130,O15067,2,Enzyme
DB00130,O43548,2,Enzyme
DB00130,O75879,2,Enzyme
DB00130,O94808,2,Enzyme
DB00130,O94925,2,Enzyme
DB00130,O95932,2,Enzyme
DB00130,P00488,2,Enzyme
DB00130,P08243,2,Enzyme
DB00130,P21980,2,Enzyme
DB00130,P22735,2,Enzyme
DB00130,P27708,2,Enzyme
DB00130,P47897,2,Enzyme
DB00130,P49221,2,Enzyme
DB00130,P49915,2,Enzyme
DB00130,Q08188,2,Enzyme
DB00130,Q16773,2,Enzyme
DB00130,Q6IA69,2,Enzyme
DB00130,Q96PF1,2,Enzyme
DB00130,Q9UI32,2,Enzyme
DB00134,P15104,2,Enzyme
DB00134,P31153,2,Enzyme
DB00134,P42898,2,Enzyme
DB00134,P56192,2,Enzyme
DB00134,Q00266,2,Enzyme
DB00134,Q96GW9,2,Enzyme
DB00134,Q9H2M3,2,Enzyme
DB00134,Q9NZL9,2,Enzyme
DB00134,Q9UJ68,2,Enzyme
DB00134,Q9Y3D2,2,Enzyme
DB00136,P08684,2,Enzyme
DB00136,Q07973,2,Enzyme
DB00139,O60568,2,Enzyme
DB00139,P31040,2,Enzyme
DB00139,P55809,2,Enzyme
DB00139,Q12797,2,Enzyme
DB00139,Q32P28,2,Enzyme
DB00139,Q8IVL5,2,Enzyme
DB00139,Q8IVL6,2,Enzyme
DB00139,Q96I99,2,Enzyme
DB00139,Q99643,2,Enzyme
DB00140,P21397,2,Enzyme
DB00140,P42898,2,Enzyme
DB00143,P08263,2,Enzyme
DB00143,P09210,2,Enzyme
DB00145,P09622,2,Enzyme
DB00145,P23378,2,Enzyme
DB00145,P23434,2,Enzyme
DB00145,P48728,2,Enzyme
DB00146,O15528,2,Enzyme
DB00146,Q07973,2,Enzyme
DB00152,O75356,2,Enzyme
DB00152,P13584,2,Enzyme
DB00152,Q9BU02,2,Enzyme
DB00152,Q9H3S4,2,Enzyme
DB00153,O15528,2,Enzyme
DB00153,P05108,2,Enzyme
DB00153,Q02318,2,Enzyme
DB00153,Q07973,2,Enzyme
DB00153,Q6VVX0,2,Enzyme
DB00153,Q96AT9,2,Enzyme
DB00158,P00374,2,Enzyme
DB00158,P42898,2,Enzyme
DB00158,Q92820,2,Enzyme
DB00161,P05166,2,Enzyme
DB00161,P26640,2,Enzyme
DB00161,P54687,2,Enzyme
DB00162,O43174,2,Enzyme
DB00163,P00441,2,Enzyme
DB00163,P08684,2,Enzyme
DB00163,P09210,2,Enzyme
DB00163,P09211,2,Enzyme
DB00163,P09601,2,Enzyme
DB00163,P15559,2,Enzyme
DB00163,P21266,2,Enzyme
DB00163,P48506,2,Enzyme
DB00163,P78417,2,Enzyme
DB00165,O00764,2,Enzyme
DB00165,P04798,2,Enzyme
DB00165,P05186,2,Enzyme
DB00165,Q96GD0,2,Enzyme
DB00166,P16435,2,Enzyme
DB00169,P04798,2,Enzyme
DB00169,P05108,2,Enzyme
DB00169,P08684,2,Enzyme
DB00169,P10632,2,Enzyme
DB00169,P51589,2,Enzyme
DB00169,Q02318,2,Enzyme
DB00169,Q6VVX0,2,Enzyme
DB00170,P04798,2,Enzyme
DB00170,P05177,2,Enzyme
DB00170,P05181,2,Enzyme
DB00170,P08684,2,Enzyme
DB00170,P10632,2,Enzyme
DB00170,P10635,2,Enzyme
DB00170,P11509,2,Enzyme
DB00170,P11712,2,Enzyme
DB00170,P20813,2,Enzyme
DB00170,P20815,2,Enzyme
DB00170,P24462,2,Enzyme
DB00170,P33261,2,Enzyme
DB00170,P42898,2,Enzyme
DB00170,P47989,2,Enzyme
DB00170,Q06278,2,Enzyme
DB00170,Q16678,2,Enzyme
DB00172,O43272,2,Enzyme
DB00176,P04798,2,Enzyme
DB00176,P05177,2,Enzyme
DB00176,P08684,2,Enzyme
DB00176,P10635,2,Enzyme
DB00176,P11712,2,Enzyme
DB00176,P20813,2,Enzyme
DB00176,P33261,2,Enzyme
DB00177,P11712,2,Enzyme
DB00178,P06276,2,Enzyme
DB00179,P09917,2,Enzyme
DB00180,P08684,2,Enzyme
DB00183,P06276,2,Enzyme
DB00185,P08684,2,Enzyme
DB00185,P10635,2,Enzyme
DB00185,Q01740,2,Enzyme
DB00186,P08684,2,Enzyme
DB00186,P54855,2,Enzyme
DB00187,P10635,2,Enzyme
DB00188,P05177,2,Enzyme
DB00188,P08684,2,Enzyme
DB00188,P10635,2,Enzyme
DB00188,P11712,2,Enzyme
DB00188,P33261,2,Enzyme
DB00193,P08684,2,Enzyme
DB00193,P10635,2,Enzyme
DB00193,P20813,2,Enzyme
DB00193,P22309,2,Enzyme
DB00194,P00813,2,Enzyme
DB00195,P05177,2,Enzyme
DB00195,P10635,2,Enzyme
DB00196,P08684,2,Enzyme
DB00196,P11712,2,Enzyme
DB00196,P20815,2,Enzyme
DB00196,P33261,2,Enzyme
DB00198,P23141,2,Enzyme
DB00199,P08684,2,Enzyme
DB00199,P20815,2,Enzyme
DB00199,P24462,2,Enzyme
DB00201,P04798,2,Enzyme
DB00201,P05177,2,Enzyme
DB00201,P05181,2,Enzyme
DB00201,P08684,2,Enzyme
DB00201,P10632,2,Enzyme
DB00201,P10635,2,Enzyme
DB00201,P11712,2,Enzyme
DB00201,Q16678,2,Enzyme
DB00202,P06276,2,Enzyme
DB00203,P05181,2,Enzyme
DB00203,P08684,2,Enzyme
DB00203,P10635,2,Enzyme
DB00203,P11712,2,Enzyme
DB00203,P20815,2,Enzyme
DB00203,P24462,2,Enzyme
DB00203,P33261,2,Enzyme
DB00204,P08684,2,Enzyme
DB00205,P10632,2,Enzyme
DB00206,P20815,2,Enzyme
DB00207,P08684,2,Enzyme
DB00208,P05164,2,Enzyme
DB00208,P05177,2,Enzyme
DB00208,P05181,2,Enzyme
DB00208,P10632,2,Enzyme
DB00208,P10635,2,Enzyme
DB00208,P11712,2,Enzyme
DB00208,P20813,2,Enzyme
DB00208,P33261,2,Enzyme
DB00209,P10635,2,Enzyme
DB00211,P10635,2,Enzyme
DB00213,P08684,2,Enzyme
DB00213,P33261,2,Enzyme
DB00214,P10632,2,Enzyme
DB00214,P11712,2,Enzyme
DB00215,P05177,2,Enzyme
DB00215,P08684,2,Enzyme
DB00215,P10635,2,Enzyme
DB00215,P33261,2,Enzyme
DB00216,P08684,2,Enzyme
DB00216,P10635,2,Enzyme
DB00216,P11509,2,Enzyme
DB00216,P11712,2,Enzyme
DB00216,P23219,2,Enzyme
DB00216,P33261,2,Enzyme
DB00218,P05177,2,Enzyme
DB00220,P08684,2,Enzyme
DB00220,P10635,2,Enzyme
DB00220,P11712,2,Enzyme
DB00220,P20813,2,Enzyme
DB00220,P20815,2,Enzyme
DB00220,P22309,2,Enzyme
DB00220,P24462,2,Enzyme
DB00220,P33261,2,Enzyme
DB00222,P11712,2,Enzyme
DB00224,P08684,2,Enzyme
DB00224,P10635,2,Enzyme
DB00224,P20815,2,Enzyme
DB00224,P22309,2,Enzyme
DB00224,P24462,2,Enzyme
DB00227,P08684,2,Enzyme
DB00227,P10632,2,Enzyme
DB00227,P16662,2,Enzyme
DB00227,P22309,2,Enzyme
DB00227,P33261,2,Enzyme
DB00227,P35503,2,Enzyme
DB00227,Q15166,2,Enzyme
