DrugID,UniprotID,ActionLabel,ActionType,TargetType,Organism
DB00193,P11229,2,Antagonist,Target,Humans
DB00193,P20309,2,Antagonist,Target,Humans
DB00193,P23975,2,Inhibitor,Target,Humans
DB00193,P25103,2,Inhibitor,Target,Humans
DB00193,P28335,2,Antagonist,Target,Humans
DB00193,P31645,2,Inhibitor,Target,Humans
DB00193,P35372,1,Agonist,Target,Humans
DB00193,P41143,1,Agonist,Target,Humans
DB00193,P41145,1,Agonist,Target,Humans
DB00193,Q8NER1,1,Agonist,Target,Humans
DB00193,Q99250,2,Inhibitor,Target,Humans
DB00194,P04293,2,Inhibitor,Target,HHV-1
DB00194,P09250,1,Inducer,Target,Not Available
DB00194,Q9QNF7,1,Inducer,Target,HHV-1
DB00195,P07550,2,Antagonist,Target,Humans
DB00195,P08588,2,Antagonist,Target,Humans
DB00196,P10613,2,Inhibitor,Target,Yeast
DB00198,P11485,2,Inhibitor,Target,Influenza A virus (strain A/Chile/1/1983 H1N1)
DB00198,Q99519,2,Inhibitor,Target,Humans
DB00198,Q9Y3R4,2,Inhibitor,Target,Humans
DB00199,O43193,1,Agonist,Target,Humans
DB00199,Q12809,2,Inhibitor,Target,Humans
DB00201,O00329,2,Inhibitor,Target,Humans
DB00201,P0DMS8,2,Antagonist,Target,Humans
DB00201,P29274,2,"Antagonist, Multitarget",Target,Humans
DB00201,P29275,2,Antagonist,Target,Humans
DB00201,P30542,2,"Antagonist, Multitarget",Target,Humans
DB00201,P42336,2,Inhibitor,Target,Humans
DB00201,P42338,2,Inhibitor,Target,Humans
DB00201,P78527,2,Inhibitor,Target,Humans
DB00201,Q07343,2,Inhibitor,Target,Humans
DB00201,Q13315,2,Inhibitor,Target,Humans
DB00202,P08172,1,Agonist,Target,Humans
DB00202,P20309,1,Agonist,Target,Humans
DB00203,O76074,2,Inhibitor,Target,Humans
DB00203,P18545,2,Inhibitor,Target,Humans
DB00203,Q13956,2,Inhibitor,Target,Humans
DB00204,O95069,2,Inhibitor,Target,Humans
DB00204,Q12809,2,Inhibitor,Target,Humans
DB00204,Q14500,2,Inhibitor,Target,Humans
DB00205,P00374,2,Inhibitor,Target,Humans
DB00205,P13922,2,Inhibitor,Target,Plasmodium falciparum (isolate K1 / Thailand)
DB00206,P54219,2,Inhibitor,Target,Humans
DB00206,Q05940,2,Inhibitor,Target,Humans
DB00207,Q9UM07,2,Inhibitor,Target,Humans
DB00208,Q9H244,2,Antagonist,Target,Humans
DB00209,P11229,2,Antagonist,Target,Humans
DB00210,O60603,2,Antagonist,Target,Humans
DB00210,P05412,2,Antagonist,Target,Humans
DB00210,P10826,1,Agonist,Target,Humans
DB00210,P13631,1,Agonist,Target,Humans
DB00210,P17174,2,Inhibitor,Target,Humans
DB00210,P19793,1,Agonist,Target,Humans
DB00210,P28702,1,Agonist,Target,Humans
DB00210,P48443,1,Agonist,Target,Humans
DB00211,P25100,1,Agonist,Target,Humans
DB00211,P35348,1,Agonist,Target,Humans
DB00211,P35368,1,Agonist,Target,Humans
DB00213,O94760,2,Inhibitor,Target,Humans
DB00213,P20648,2,Inhibitor,Target,Humans
DB00214,P55011,2,Inhibitor,Target,Humans
DB00214,Q13621,2,Inhibitor,Target,Humans
DB00215,P31645,2,Inhibitor,Target,Humans
DB00216,P08908,1,Agonist,Target,Humans
DB00216,P28221,1,Agonist,Target,Humans
DB00216,P28222,1,Agonist,Target,Humans
DB00216,P30939,1,Agonist,Target,Humans
DB00217,P48048,2,Inhibitor,Target,Humans
DB00218,P11388,2,Inhibitor,Target,Humans
DB00218,P43700,2,Inhibitor,Target,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)
DB00218,P43702,2,Inhibitor,Target,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)
DB00219,P11229,2,Antagonist,Target,Humans
DB00220,O90777,2,Inhibitor,Target,Human Immunodeficiency Virus
DB00221,P07550,1,Agonist,Target,Humans
DB00221,P08588,1,Agonist,Target,Humans
DB00222,P48048,2,Inhibitor,Target,Humans
DB00222,Q09428,1,Inducer,Target,Humans
DB00222,Q14654,2,Inhibitor,Target,Humans
DB00223,P04150,1,Agonist,Target,Humans
DB00224,Q72874,2,Inhibitor,Target,Human immunodeficiency virus 1
DB00227,P04035,2,Inhibitor,Target,Humans
DB00227,P20701,2,Inhibitory allosteric modulator,Target,Humans
DB00228,O14983,2,"Inhibitor, Stimulator",Target,Humans
DB00228,P98194,2,Inhibitor,Target,Humans
DB00229,Q8XJ01,1,Inducer,Target,Clostridium perfringens (strain 13 / Type A)
DB00233,O15111,2,Inhibitor,Target,Humans
DB00233,P09917,2,Inhibitor,Target,Humans
DB00233,P35354,2,Inhibitor,Target,Humans
DB00234,P23975,2,Inhibitor,Target,Humans
DB00235,Q14432,2,Inhibitor,Target,Humans
DB00238,Q72547,2,Inhibitor,Target,Human immunodeficiency virus 1
DB00239,P10613,2,Inhibitor,Target,Yeast
DB00239,Q04782,2,Inhibitor,Target,Yeast
DB00240,P04150,1,Agonist,Target,Humans
DB00242,P00491,1,Inducer,Target,Humans
DB00242,P09884,2,Inhibitor,Target,Humans
DB00242,P23921,2,Inhibitor,Target,Humans
DB00242,P31350,2,Inhibitor,Target,Humans
DB00242,P56282,2,Inhibitor,Target,Humans
DB00242,Q07864,2,Inhibitor,Target,Humans
DB00242,Q7LG56,2,Inhibitor,Target,Humans
DB00242,Q9NR33,2,Inhibitor,Target,Humans
DB00242,Q9NRF9,2,Inhibitor,Target,Humans
DB00243,P08588,2,Antagonist,Target,Humans
DB00244,O14920,2,Inhibitor,Target,Humans
DB00244,O15111,2,Inhibitor,Target,Humans
DB00244,P09917,2,Inhibitor,Target,Humans
DB00244,P23219,2,Inhibitor,Target,Humans
DB00244,P35354,2,Inhibitor,Target,Humans
DB00244,P37231,1,Agonist,Target,Humans
DB00245,P11229,2,Antagonist,Target,Humans
DB00245,P23975,2,Inhibitor,Target,Humans
DB00245,P31645,2,Inhibitor,Target,Humans
DB00245,P35367,2,Antagonist,Target,Humans
DB00245,Q01959,2,Inhibitor,Target,Humans
DB00246,P08172,2,Antagonist,Target,Humans
DB00246,P08173,2,Antagonist,Target,Humans
DB00246,P08908,1,Agonist,Target,Humans
DB00246,P08912,2,Antagonist,Target,Humans
DB00246,P08913,2,Antagonist,Target,Humans
DB00246,P11229,2,Antagonist,Target,Humans
DB00246,P14416,2,Antagonist,Target,Humans
DB00246,P18089,2,Antagonist,Target,Humans
DB00246,P18825,2,Antagonist,Target,Humans
DB00246,P20309,2,Antagonist,Target,Humans
DB00246,P21728,2,Antagonist,Target,Humans
DB00246,P21917,2,Antagonist,Target,Humans
DB00246,P21918,2,Antagonist,Target,Humans
DB00246,P28221,2,Antagonist,Target,Humans
DB00246,P28222,2,Antagonist,Target,Humans
DB00246,P28223,2,Antagonist,Target,Humans
DB00246,P28335,2,Antagonist,Target,Humans
DB00246,P28566,2,Antagonist,Target,Humans
DB00246,P34969,2,Antagonist,Target,Humans
DB00246,P35348,2,Antagonist,Target,Humans
DB00246,P35367,2,Antagonist,Target,Humans
DB00246,P35368,2,Antagonist,Target,Humans
DB00246,P35462,2,Antagonist,Target,Humans
DB00246,P47898,2,Antagonist,Target,Humans
DB00246,P50406,2,Antagonist,Target,Humans
DB00247,P08908,1,Agonist,Target,Humans
DB00247,P28223,2,Antagonist,Target,Humans
DB00247,P28335,2,Antagonist,Target,Humans
DB00247,P34969,2,Antagonist,Target,Humans
DB00247,P41595,2,Antagonist,Target,Humans
DB00248,P08908,1,Agonist,Target,Humans
DB00248,P08913,2,Antagonist,Target,Humans
DB00248,P14416,1,Agonist,Target,Humans
DB00248,P18089,2,Antagonist,Target,Humans
DB00248,P18825,2,Antagonist,Target,Humans
DB00248,P21728,1,Agonist,Target,Humans
DB00248,P21917,1,Agonist,Target,Humans
DB00248,P21918,1,Agonist,Target,Humans
DB00248,P28221,1,Agonist,Target,Humans
DB00248,P28222,1,Agonist,Target,Humans
DB00248,P28223,1,Agonist,Target,Humans
DB00248,P28335,1,Agonist,Target,Humans
DB00248,P34969,2,Antagonist,Target,Humans
DB00248,P35462,1,Agonist,Target,Humans
DB00248,P41595,1,Agonist,Target,Humans
DB00250,P0C0X1,2,Inhibitor,Target,Mycobacterium leprae (strain TN)
DB00250,P0C0X2,2,Inhibitor,Target,Mycobacterium leprae (strain TN)
DB00251,P10613,2,Antagonist,Target,Yeast
DB00252,P35498,2,Inhibitor,Target,Humans
DB00252,Q12809,2,Inhibitor,Target,Humans
DB00252,Q14524,2,Inhibitor,Target,Humans
DB00252,Q99250,2,Inhibitor,Target,Humans
DB00252,Q9UQD0,2,Inhibitor,Target,Humans
DB00253,P04150,1,Agonist,Target,Humans
DB00255,P03372,1,Agonist,Target,Humans
DB00255,P10275,2,Antagonist,Target,Humans
DB00255,P62508,1,Agonist,Target,Humans
DB00255,Q92731,1,Agonist,Target,Humans
DB00256,P0A7V8,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00257,O15554,2,Inhibitor,Target,Humans
DB00257,O75469,1,Activator,Target,Humans
DB00257,P10613,2,"Antagonist, Inhibitor",Target,Yeast
DB00259,P0AC13,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00260,P0A6J8,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00260,Q9L888,2,Inhibitor,Target,Mycobacterium avium
DB00261,Q14432,2,Inhibitor,Target,Humans
DB00262,P00390,2,Inhibitor,Target,Humans
DB00263,P0AC13,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00264,P07550,2,Antagonist,Target,Humans
DB00264,P08588,2,Antagonist,Target,Humans
DB00266,P15559,2,Inhibitor,Target,Humans
DB00266,Q08257,2,Inhibitor,Target,Humans
DB00266,Q9BQB6,2,Inhibitor,Target,Humans
DB00267,P0AD68,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00267,Q8XJ01,2,Inhibitor,Target,Clostridium perfringens (strain 13 / Type A)
DB00268,P14416,1,Agonist,Target,Humans
DB00268,P21917,1,Agonist,Target,Humans
DB00268,P35462,1,Agonist,Target,Humans
DB00270,O95180,2,Inhibitor,Target,Humans
DB00270,P54289,2,Inhibitor,Target,Humans
DB00270,Q01668,2,Inhibitor,Target,Humans
DB00270,Q08289,2,Inhibitor,Target,Humans
DB00270,Q13698,2,Inhibitor,Target,Humans
DB00270,Q13936,2,Inhibitor,Target,Humans
DB00270,Q9NY47,2,Inhibitor,Target,Humans
DB00272,P25021,1,Agonist,Target,Humans
DB00273,P00915,2,Inhibitor,Target,Humans
DB00273,P00918,2,Inhibitor,Target,Humans
DB00273,P07451,2,Inhibitor,Target,Humans
DB00273,P14867,1,Agonist,Target,Humans
DB00273,P22748,2,Inhibitor,Target,Humans
DB00273,Q15878,2,Antagonist,Target,Humans
DB00274,C1KC03,2,Inhibitor,Target,Staphylococcus aureus
DB00274,P02918,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00274,P02919,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00274,P08506,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00274,P0AD68,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00274,P0AEB2,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00275,P30556,2,Antagonist,Target,Humans
DB00276,P11388,2,Inhibitor,Target,Humans
DB00276,Q12809,2,Inhibitor,Target,Humans
DB00277,O76074,2,Inhibitor,Target,Humans
DB00277,P27815,2,Inhibitor,Target,Humans
DB00277,P29274,2,Antagonist,Target,Humans
DB00277,P29275,2,Antagonist,Target,Humans
DB00277,P30542,2,Antagonist,Target,Humans
DB00277,Q07343,2,Inhibitor,Target,Humans
DB00277,Q14432,2,Inhibitor,Target,Humans
DB00277,Q92769,1,Activator,Target,Humans
DB00278,P00734,2,Inhibitor,Target,Humans
DB00279,P10827,1,Agonist,Target,Humans
DB00279,P10828,1,Agonist,Target,Humans
DB00279,P12004,2,Antagonist,Target,Humans
DB00280,P08172,2,Antagonist,Target,Humans
DB00280,P11229,2,Antagonist,Target,Humans
DB00280,P20309,2,Antagonist,Target,Humans
DB00280,Q12809,2,Inhibitor,Target,Humans
DB00280,Q14524,2,Inhibitor,Target,Humans
DB00280,Q9NZV8,2,Inhibitor,Target,Humans
DB00280,Q9UK17,2,Inhibitor,Target,Humans
DB00281,P00533,2,Antagonist,Target,Humans
DB00281,Q14524,2,Inhibitor,Target,Humans
DB00281,Q15858,2,Inhibitor,Target,Humans
DB00281,Q9Y5Y9,2,Inhibitor,Target,Humans
DB00282,O95749,2,Inhibitor,Target,Humans
DB00282,P14324,2,Inhibitor,Target,Humans
DB00283,P35367,2,Antagonist,Target,Humans
DB00284,O43451,2,Inhibitor,Target,Humans
DB00284,P04746,2,Inhibitor,Target,Humans
DB00284,P10253,2,Inhibitor,Target,Humans
DB00284,P14410,2,Inhibitor,Target,Humans
DB00285,P23975,2,Inhibitor,Target,Humans
DB00285,P31645,2,Inhibitor,Target,Humans
DB00285,Q01959,2,Inhibitor,Target,Humans
DB00287,P43088,1,Agonist,Target,Humans
DB00288,P04083,1,Agonist,Target,Humans
DB00288,P04150,1,Agonist,Target,Humans
DB00289,P23975,2,Inhibitor,Target,Humans
DB00289,P48549,2,Inhibitor,Target,Humans
DB00292,P14867,1,Agonist,Target,Humans
DB00292,P18089,1,Agonist,Target,Humans
DB00293,P04818,2,Inhibitor,Target,Humans
DB00293,Q05932,2,Antagonist,Target,Humans
DB00294,P06401,1,Agonist,Target,Humans
DB00295,P35372,1,Agonist,Target,Humans
DB00295,P41143,1,Agonist,Target,Humans
DB00295,P41145,1,Agonist,Target,Humans
DB00295,Q9Y6Y9,1,Activator,Target,Humans
DB00296,Q9Y5Y9,2,Inhibitor,Target,Humans
DB00297,Q9Y5Y9,2,Inhibitor,Target,Humans
DB00298,P25100,2,Antagonist,Target,Humans
DB00298,P35348,2,Antagonist,Target,Humans
DB00298,P35368,2,Antagonist,Target,Humans
DB00299,P04293,2,Inhibitor,Target,HHV-1
DB00299,P06478,1,Inducer,Target,Not Available
DB00300,P24024,2,Inhibitor,Target,HBV-D
DB00300,Q72547,2,Inhibitor,Target,Human immunodeficiency virus 1
DB00301,Q8XJ01,2,Inhibitor,Target,Clostridium perfringens (strain 13 / Type A)
DB00302,P00747,2,Inhibitor,Target,Humans
DB00303,P02918,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00303,P02919,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00303,P08506,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00303,P0AD65,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00303,P0AD68,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00303,P24228,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00303,P44469,2,Inhibitor,Target,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)
DB00303,P45059,2,Inhibitor,Target,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)
DB00304,P03372,1,Agonist,Target,Humans
DB00304,P06401,1,Agonist,Target,Humans
DB00307,P19793,1,Agonist,Target,Humans
DB00307,P28702,1,Agonist,Target,Humans
DB00307,P48443,1,Agonist,Target,Humans
DB00308,O00180,2,Inhibitor,Target,Humans
DB00308,P54289,1,Activator,Target,Humans
DB00308,Q02641,1,Activator,Target,Humans
DB00308,Q06432,1,Activator,Target,Humans
DB00308,Q12809,2,Inhibitor,Target,Humans
DB00308,Q13936,1,Activator,Target,Humans
DB00308,Q14654,2,Inhibitor,Target,Humans
DB00308,Q9H252,2,Inhibitor,Target,Humans
DB00308,Q9NS40,2,Inhibitor,Target,Humans
DB00308,Q9Y257,2,Inhibitor,Target,Humans
DB00309,Q9H4B7,2,Inhibitor,Target,Humans
DB00310,P00915,2,Inhibitor,Target,Humans
DB00310,Q13621,2,Inhibitor,Target,Humans
DB00312,O75469,1,Activator,Target,Humans
DB00312,P36544,2,Antagonist,Target,Humans
DB00312,P42262,2,Antagonist,Target,Humans
DB00312,P43681,2,Antagonist,Target,Humans
DB00312,Q13002,2,Antagonist,Target,Humans
DB00313,P45954,2,Inhibitor,Target,Humans
DB00313,P51649,2,Inhibitor,Target,Humans
DB00313,Q02218,2,Inhibitor,Target,Humans
DB00313,Q92769,2,Inhibitor,Target,Humans
DB00313,Q9UKV0,2,Inhibitor,Target,Humans
DB00315,P08908,1,Agonist,Target,Humans
DB00315,P28221,1,Agonist,Target,Humans
DB00315,P28222,1,Agonist,Target,Humans
DB00315,P28223,1,Agonist,Target,Humans
DB00315,P28566,1,Agonist,Target,Humans
DB00315,P30939,1,Agonist,Target,Humans
DB00315,P34969,1,Agonist,Target,Humans
DB00315,P41595,1,Agonist,Target,Humans
DB00316,P23219,2,Inhibitor,Target,Humans
DB00316,P35354,2,Inhibitor,Target,Humans
DB00316,Q15185,2,Inhibitor,Target,Humans
DB00316,Q8NER1,1,Activator,Target,Humans
DB00317,P00533,2,Antagonist,Target,Humans
DB00319,P0A3M6,2,Inhibitor,Target,Streptococcus pneumoniae (strain ATCC BAA-255 / R6)
DB00319,Q75Y35,2,Inhibitor,Target,Streptococcus pneumoniae
DB00319,Q7CRA4,2,Inhibitor,Target,Streptococcus pneumoniae (strain ATCC BAA-255 / R6)
DB00319,Q8DNB6,2,Inhibitor,Target,Streptococcus pneumoniae (strain ATCC BAA-255 / R6)
DB00320,P08913,1,Agonist,Target,Humans
DB00320,P28221,1,Agonist,Target,Humans
DB00320,P28222,1,Agonist,Target,Humans
DB00320,P41595,1,Agonist,Target,Humans
DB00321,O43525,2,Inhibitor,Target,Humans
DB00321,O43526,2,Inhibitor,Target,Humans
DB00321,P04629,1,"Agonist, Activator",Target,Humans
DB00321,P08909,2,Antagonist,Target,Rat
DB00321,P23975,2,Inhibitor,Target,Humans
DB00321,P25021,2,Blocker,Target,Humans
DB00321,P25100,2,Antagonist,Target,Humans
DB00321,P28223,2,Antagonist,Target,Humans
DB00321,P28335,2,Antagonist,Target,Humans
DB00321,P31645,2,Inhibitor,Target,Humans
DB00321,P34969,2,Antagonist,Target,Humans
DB00321,P35348,2,"Antagonist, Inhibitor",Target,Humans
DB00321,P35367,2,Antagonist,Target,Humans
DB00321,P35368,2,Antagonist,Target,Humans
DB00321,P41143,1,Agonist,Target,Humans
DB00321,P41145,1,Agonist,Target,Humans
DB00321,P50406,2,Antagonist,Target,Humans
DB00321,Q09470,2,Inhibitor,Target,Humans
DB00321,Q16620,1,Agonist,Target,Humans
DB00321,Q99720,1,Agonist,Target,Humans
DB00324,P04150,1,Agonist,Target,Humans
DB00325,P16066,1,Agonist,Target,Humans
DB00328,P14555,2,Inhibitor,Target,Humans
DB00328,P19525,1,Inducer,Target,Humans
DB00328,P23219,2,Inhibitor,Target,Humans
DB00328,P35354,2,Inhibitor,Target,Humans
DB00328,P37231,1,Activator,Target,Humans
DB00328,P42330,2,Inhibitor,Target,Humans
DB00328,Q04760,2,Inhibitor,Target,Humans
DB00328,Q07869,1,Agonist,Target,Humans
DB00328,Q8N8N7,2,Inhibitor,Target,Humans
DB00330,P9WNL5,2,Inhibitor,Target,Mycobacterium tuberculosis
DB00330,P9WNL7,2,Inhibitor,Target,Mycobacterium tuberculosis
DB00330,P9WNL9,2,Inhibitor,Target,Mycobacterium tuberculosis
DB00331,P21695,2,Inhibitor,Target,Humans
DB00331,Q16134,2,Inhibitor,Target,Humans
DB00331,Q9Y478,1,"Inducer, Activator",Target,Humans
DB00332,P08172,2,Antagonist,Target,Humans
DB00332,P11229,2,Antagonist,Target,Humans
DB00332,P20309,2,Antagonist,Target,Humans
DB00333,P17787,2,Antagonist,Target,Humans
DB00333,P32297,2,Antagonist,Target,Humans
DB00333,P35372,1,Agonist,Target,Humans
DB00333,P36544,1,Agonist,Target,Humans
DB00333,P41143,1,Agonist,Target,Humans
DB00333,P43681,2,Antagonist,Target,Humans
DB00333,P46098,2,Antagonist,Target,Humans
DB00334,P08172,2,Antagonist,Target,Humans
DB00334,P08173,2,Antagonist,Target,Humans
DB00334,P11229,2,Antagonist,Target,Humans
DB00334,P14416,2,Antagonist,Target,Humans
DB00334,P20309,2,Antagonist,Target,Humans
DB00334,P21728,2,Antagonist,Target,Humans
DB00334,P21917,2,Antagonist,Target,Humans
DB00334,P21918,2,Antagonist,Target,Humans
DB00334,P28223,2,Antagonist,Target,Humans
DB00334,P28335,2,Antagonist,Target,Humans
DB00334,P35348,2,Antagonist,Target,Humans
DB00334,P35367,2,Antagonist,Target,Humans
DB00334,P35368,2,Antagonist,Target,Humans
DB00334,P35462,2,Antagonist,Target,Humans
DB00334,P46098,2,Antagonist,Target,Humans
DB00334,P50406,2,Antagonist,Target,Humans
DB00335,P07550,2,Antagonist,Target,Humans
DB00335,P08588,2,Antagonist,Target,Humans
DB00336,P06715,2,Inhibitor,Target,Escherichia coli (strain K12)
DB00338,P20648,2,Inhibitor,Target,Humans
DB00338,P35869,1,Agonist,Target,Humans
DB00339,P95029,2,Inhibitor,Target,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
DB00341,P35367,2,Antagonist,Target,Humans
DB00343,Q06432,2,Blocker,Target,Humans
DB00343,Q13936,2,Blocker,Target,Humans
DB00344,P23975,2,Inhibitor,Target,Humans
DB00344,P31645,2,Inhibitor,Target,Humans
DB00346,P25100,2,Antagonist,Target,Humans
DB00346,P35348,2,Antagonist,Target,Humans
DB00346,P35368,2,Antagonist,Target,Humans
DB00347,O43497,2,Inhibitor,Target,Humans
DB00348,P32754,2,Inhibitor,Target,Humans
DB00350,P23219,1,Inducer,Target,Humans
DB00350,P48048,1,Inducer,Target,Humans
DB00351,P04150,1,Agonist,Target,Humans
DB00351,P06401,1,Agonist,Target,Humans
DB00353,P21728,2,Antagonist,Target,Humans
DB00354,P11229,2,"Antagonist, Weak inhibitor",Target,Humans
DB00354,P35367,2,Antagonist,Target,Humans
DB00355,P42971,2,Inhibitor,Target,Bacillus subtilis (strain 168)
DB00357,P05108,2,Inhibitor,Target,Humans
DB00357,P11511,2,Inhibitor,Target,Humans
DB00358,P29274,2,Antagonist,Target,Humans
DB00359,Q27738,2,Inhibitor,Target,Plasmodium falciparum
DB00361,P07437,2,"Antagonist, Inhibitor",Target,Humans
DB00363,P08172,2,Antagonist,Target,Humans
DB00363,P08173,2,Antagonist,Target,Humans
DB00363,P08908,2,Antagonist,Target,Humans
DB00363,P08912,2,Antagonist,Target,Humans
DB00363,P08913,2,Antagonist,Target,Humans
DB00363,P11229,2,Antagonist,Target,Humans
DB00363,P14416,2,Antagonist,Target,Humans
DB00363,P18089,2,Antagonist,Target,Humans
DB00363,P18825,2,Antagonist,Target,Humans
DB00363,P20309,2,Antagonist,Target,Humans
DB00363,P21728,2,Antagonist,Target,Humans
DB00363,P21917,2,Antagonist,Target,Humans
DB00363,P28221,2,Antagonist,Target,Humans
DB00363,P28222,2,Antagonist,Target,Humans
DB00363,P28223,2,Antagonist,Target,Humans
DB00363,P28335,2,Antagonist,Target,Humans
DB00363,P28566,2,Antagonist,Target,Humans
DB00363,P34969,2,Antagonist,Target,Humans
DB00363,P35348,2,Antagonist,Target,Humans
DB00363,P35367,2,Antagonist,Target,Humans
DB00363,P35368,2,Antagonist,Target,Humans
DB00363,P35462,2,Antagonist,Target,Humans
DB00363,P46098,2,Antagonist,Target,Humans
DB00363,P50406,2,Antagonist,Target,Humans
DB00363,Q9H3N8,2,Antagonist,Target,Humans
DB00366,P35367,2,Antagonist,Target,Humans
DB00367,P04278,2,"Inhibitor, Binder",Target,Humans
DB00367,P18405,2,Inhibitor,Target,Humans
DB00368,P00439,2,Inhibitor,Target,Humans
DB00368,P07550,1,Agonist,Target,Humans
DB00368,P08588,1,Agonist,Target,Humans
DB00368,P08913,1,Agonist,Target,Humans
DB00368,P13945,1,Agonist,Target,Humans
DB00368,P18089,1,Agonist,Target,Humans
DB00368,P18825,1,Agonist,Target,Humans
DB00368,P25100,1,Agonist,Target,Humans
DB00368,P35348,1,Agonist,Target,Humans
DB00368,P35368,1,Agonist,Target,Humans
DB00369,P08546,2,Inhibitor,Target,HHV-5
DB00370,P08913,2,Antagonist,Target,Humans
DB00370,P28223,2,Antagonist,Target,Humans
DB00370,P28335,2,Antagonist,Target,Humans
DB00370,P35367,2,Antagonist,Target,Humans
DB00370,P41145,1,Agonist,Target,Humans
DB00373,P07550,2,Antagonist,Target,Humans
DB00373,P08588,2,Antagonist,Target,Humans
DB00374,P43119,1,Agonist,Target,Humans
DB00374,Q03181,1,Agonist,Target,Humans
DB00374,Q9H244,1,Agonist,Target,Humans
DB00376,P08172,2,Antagonist,Target,Humans
DB00376,P08173,2,Antagonist,Target,Humans
DB00376,P08912,2,Antagonist,Target,Humans
DB00376,P11229,2,Antagonist,Target,Humans
DB00376,P20309,2,Antagonist,Target,Humans
DB00377,P46098,2,Antagonist,Target,Humans
DB00379,P35869,1,Agonist,Target,Humans
DB00379,Q14524,2,Inhibitor,Target,Humans
DB00381,P00915,2,Inhibitor,Target,Humans
DB00381,P17405,2,Inhibitor,Target,Humans
